MONTH,DATE BILLED,PREVIOUS_H_READING,CURRENT_H_READING,CONSUMED_H(kWh),PREVIOUS_L_READING,CURRENT_L_READING,CONSUMED_L(kWh),DEMAND KVA,DEMAND KW,TOTAL CONSUMED,AVG DAILY,PF
Aug-24,4/9/2024,766746.0,778733.0,11987.0,611812.0,621194.0,9382.0,66.0,64.0,21369.0,689.32258064516,0.96969696969697
Sep-24,4/10/2024,778733.0,790465.0,11732.0,621194.0,631141.0,9947.0,64.0,63.0,21679.0,722.63333333333,0.984375
Oct-24,4/11/2024,790465.0,800963.0,10498.0,631141.0,640110.0,8969.0,56.0,55.0,19467.0,627.96774193548,0.98214285714286
Nov-24,4/12/2024,800963.0,809324.0,8361.0,640110.0,648888.0,8778.0,53.0,52.0,17139.0,552.87096774194,0.9811320754717
Dec-24,4/1/2025,809324.0,816243.0,6919.0,648888.0,657981.0,9093.0,50.0,48.0,16012.0,516.51612903226,0.96
Jan-25,4/2/2025,816243.0,824792.0,8549.0,657981.0,666749.0,8768.0,69.0,67.0,17317.0,558.61290322581,0.97101449275362
